DBSnapshotIdentifier,DBInstanceIdentifier,Region,SnapshotCreateTime,Engine,AllocatedStorage,Status,Tags
awsbackup:job-a4c22369-0a2a-f101-e1f8-46c6bef64642,aws-ni,us-east-1,2023-06-17 07:23:05.042000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-a6137ad1-4a7d-53b3-2f98-7b0f4e9ef011,aws-ni,us-east-1,2023-06-21 07:21:58.222000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-a84ee053-0062-328a-b8ec-8a98260b3bae,licensing-prod,us-east-1,2023-01-25 06:46:54.870000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-a85303fa-d162-c79d-de71-bee25a829f64,aws-ni,us-east-1,2023-04-29 07:26:21.009000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-af68ffe1-edaa-6651-5211-8093bfd63b07,aws-ci,us-east-1,2023-05-27 07:30:55.636000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-b0845720-b1d9-6be1-b58d-e10eb1335d17,aws-ni,us-east-1,2023-07-12 07:24:10.357000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-b4be2e00-5872-30b6-eb13-f045043e74a6,aws-ci,us-east-1,2023-07-08 07:34:52.481000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-bafb23cd-351a-6968-132c-80671cd67155,aws-ni,us-east-1,2023-02-15 07:01:18.415000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-bf6284e8-eea4-c24e-d016-7c9c7d6783cf,aws-ci,us-east-1,2023-07-05 07:26:56.211000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-c1d1db87-6a05-9022-f5ef-0d819b356f13,licensing-prod,us-east-1,2023-03-22 06:47:53.813000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-c4c803b2-c346-3e37-5500-560a7cbf65d9,aws-ni,us-east-1,2023-04-01 07:05:00.960000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-c4eb0340-cbb6-5f9b-bbf6-5c54953a6078,aws-ci,us-east-1,2023-04-26 07:11:48.246000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-c578534e-451d-2ada-c594-01c73a4403ff,aws-ni,us-east-1,2023-04-08 07:00:16.694000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-c661435c-3c2c-412d-5567-2eda792b30aa,aws-ni,us-east-1,2023-03-04 07:04:17.609000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-c68a30fe-6c4d-6f17-e037-c1b962c40721,aws-ni,us-east-1,2023-06-03 07:38:58.065000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-ca18559d-f6f0-12e8-5283-c110efdc4e37,aws-ci,us-east-1,2023-07-19 07:30:23.013000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-cbf99d5d-ec00-60a1-03d2-1506e689244b,aws-ci,us-east-1,2023-03-01 07:07:20.552000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-cc7942b9-4f2f-0b44-9d1f-62bd64e46d21,aws-ni,us-east-1,2023-04-26 07:05:41.183000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-cd17af50-6719-efeb-de9f-b60bce8129d0,licensing-prod,us-east-1,2023-07-19 07:41:27.641000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-cd55a591-7bbd-085f-def4-03f684e49e40,aws-ni,us-east-1,2023-07-19 07:24:49.995000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-cf0c1949-aed4-2e83-82c8-13a8015f31df,aws-ni,us-east-1,2023-03-01 07:05:51.693000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-d5a9e109-22de-7423-654b-f8fdc077916f,aws-ni,us-east-1,2023-02-25 07:05:06.898000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-d8f6e5aa-6206-c7a0-af8c-6305104a1bb8,licensing-prod,us-east-1,2023-02-08 06:41:24.503000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-d9b7bbca-689c-9cd7-ee97-78bab2b52c39,aws-ni,us-east-1,2023-04-05 07:05:44.892000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-dbe66f42-2121-433b-eeb2-6d5b1ae14d95,aws-ci,us-east-1,2023-01-25 07:10:56.979000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-ddf75f7a-6f56-57b3-cba4-83c3ed44dc04,aws-ci,us-east-1,2023-04-01 07:06:06.434000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-def8caae-9ab2-b92b-9078-5a9798c6078e,aws-ci,us-east-1,2023-02-25 07:07:09.613000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-df171ca2-cd13-a382-0b0d-4bf85bdea74e,aws-ni,us-east-1,2023-05-10 07:25:07.677000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-dfdea8e7-682a-1aee-3a67-f06df386be3f,aws-ci,us-east-1,2023-03-15 07:05:09.359000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-e0be8389-ccb1-d560-5382-67af57075f73,licensing-prod-2,us-east-1,2023-01-21 06:34:16.014000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-e681a86f-402d-149b-efcb-6fce296df840,licensing-prod,us-east-1,2023-04-29 10:15:39.277000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-e6a667e7-8679-0f64-01c2-e930292db369,aws-ni,us-east-1,2023-05-27 07:25:19.571000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-e7f1478c-3424-0abf-fd7b-8b6a6aaa3063,aws-ci,us-east-1,2023-03-08 07:11:38.687000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-e857d4aa-08eb-6c42-d6c8-5c7d73e5bd85,aws-ci,us-east-1,2023-04-22 07:09:15.344000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-ed60e6cb-43b3-8880-b79f-b6f5be312f98,aws-ci,us-east-1,2023-06-10 07:30:04.771000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-edf747af-552f-094a-e098-08521fb517ef,licensing-prod,us-east-1,2023-01-28 06:42:51.887000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-ee6be45d-e5e8-7f29-86db-da09bbca7d54,licensing-prod,us-east-1,2023-05-31 07:39:35.745000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-eef761ab-d7fa-1c34-4eb6-1e88ae05b4c7,licensing-prod,us-east-1,2023-07-15 08:35:45.327000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-efbc6cb6-7f4a-839d-9fd9-1bdc34151c01,aws-ci,us-east-1,2023-04-05 07:10:53.417000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-f08d94c9-3569-3867-51ce-d7447971b8fe,licensing-prod,us-east-1,2023-06-17 08:34:47.145000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-f184872d-d2d6-baed-54a7-82fe6a7f1b2e,aws-ci,us-east-1,2023-01-28 07:03:49.967000+00:00,mysql,20,available,"""env"": ""prod"""
