Name,Description,SnapshotId,Region,Encrypted,OwnerId,StartTime,VolumeId,VolumeSize,StorageTier,RestoreExpiryTime,Tags
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-058e2c2f6e68fab74,snap-021057fa81d20a668,us-east-1,False,993814764642,2023-03-15 07:10:27.736000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:DD0AA209-43B6-4504-AFA7-4035142D1181"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-021b0820951599604,snap-032ee91cfc1140ebf,us-east-1,False,993814764642,2023-03-15 06:54:21.616000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:C8203E30-472D-CE89-C47E-19B48DD93F73"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-0e79327815503a803,snap-044e756bbf2ae51f4,us-east-1,False,993814764642,2023-03-11 08:43:53.043000+00:00,vol-947259d7,80,standard,,"""Name"": ""DataHub4 C Drive"", ""aws:backup:source-resource"": ""i-f5b79090:F46B7680-6E5C-5983-BB58-BD138D62AD6D"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-02f96cf5dd2ec8aa4,snap-00373333c02da4df7,us-east-1,False,993814764642,2023-03-11 08:30:26.697000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:E8FC3A8E-4602-7F91-7F88-545521345315"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-05624d16608374100,snap-0537381860880c8b1,us-east-1,False,993814764642,2023-03-08 08:43:14.146000+00:00,vol-4a725909,300,standard,,"""Name"": ""DataHub4 Rabbit Drive"", ""aws:backup:source-resource"": ""i-f5b79090:B20DDBF7-0E67-4E82-E5F6-9BC624919F59"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-096e7d504bc884b5c,snap-0dfaef7a562dbfe5d,us-east-1,False,993814764642,2023-03-08 06:52:38.853000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:3F3EE54E-9EB7-713C-765E-AC4A5B2EBED4"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-05f7e0029afcbfa69,snap-05ce6a14f145a483c,us-east-1,False,993814764642,2023-03-04 08:35:24.198000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:A168CBE4-04E3-A6DB-1ED3-09E16AFD47C6"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-00941625b7006251a,snap-09916a1feb9d5aec1,us-east-1,False,993814764642,2023-03-04 08:42:07.117000+00:00,vol-947259d7,80,standard,,"""Name"": ""DataHub4 C Drive"", ""aws:backup:source-resource"": ""i-f5b79090:797B80FA-2174-A4B6-5F52-F18435D59785"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-02fbffc2db50034d4,snap-0dae7abebc2e12020,us-east-1,False,993814764642,2023-02-25 08:41:30.938000+00:00,vol-947259d7,80,standard,,"""aws:backup:source-resource"": ""i-f5b79090:71D028C5-3BD1-1E7C-328D-5A1BDFD05710"", ""Name"": ""DataHub4 C Drive"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-02fbffc2db50034d4,snap-0e136e840aa0523f3,us-east-1,False,993814764642,2023-02-25 08:41:30.938000+00:00,vol-4a725909,300,standard,,"""aws:backup:source-resource"": ""i-f5b79090:71D028C5-3BD1-1E7C-328D-5A1BDFD05710"", ""Name"": ""DataHub4 Rabbit Drive"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-052c224469686d5fe,snap-06f5ebb4e90294ce5,us-east-1,False,993814764642,2023-02-25 08:28:25.095000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:55CDF0A7-AE91-112A-7B5F-6947879AB951"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-0a6b36494869dfb6e,snap-0f643ccbdfa798710,us-east-1,False,993814764642,2023-02-25 06:53:24.604000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:869668E9-735C-3D55-B3CB-76A8325B5412"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-0a56f8f4cd898bdf7,snap-02fffb7a75a4a97b6,us-east-1,False,993814764642,2023-02-22 08:47:28.909000+00:00,vol-947259d7,80,standard,,"""Name"": ""DataHub4 C Drive"", ""aws:backup:source-resource"": ""i-f5b79090:66B6C806-F021-F015-31FE-BC956B4983DE"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-06cac991e1123bbd5,snap-02dc8d461141c5bf5,us-east-1,False,993814764642,2023-02-22 07:07:39.382000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:CEE8E648-77C9-0D68-E3DC-D5BA743A5ED5"", ""Name"": ""WebFront2"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-09df15cdbb97f1ba3,snap-09f8da68fd827a67e,us-east-1,False,993814764642,2023-02-18 06:52:27.971000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:89F27FCF-0CF3-2374-AB41-CBC19DF951CF"""
